year,carrier_name,delay_cause,delay_mins,percentage_delay
2005,Atlantic Southeast Airlines,security_delay,3117.0,0.0003
2005,Atlantic Southeast Airlines,weather_delay,317346.0,0.0273
2005,Atlantic Southeast Airlines,nas_delay,1727863.0,0.1488
2005,Atlantic Southeast Airlines,late_aircraft_delay,2239292.0,0.1928
2005,Comair Inc.,arr_delay,4137673.0,0.5
2005,Comair Inc.,carrier_delay,1597264.0,0.193
2005,Comair Inc.,security_delay,3824.0,0.0005
2005,Comair Inc.,weather_delay,793719.0,0.0959
2005,Comair Inc.,nas_delay,1303277.0,0.1575
2005,Comair Inc.,late_aircraft_delay,439589.0,0.0531
2005,Continental Air Lines Inc.,arr_delay,3182665.0,0.5
2005,Continental Air Lines Inc.,carrier_delay,1321910.0,0.2077
2005,Continental Air Lines Inc.,security_delay,13961.0,0.0022
2005,Continental Air Lines Inc.,weather_delay,831658.0,0.1307
2005,Continental Air Lines Inc.,nas_delay,943286.0,0.1482
2005,Continental Air Lines Inc.,late_aircraft_delay,71850.0,0.0113
2005,Delta Air Lines Inc.,arr_delay,3568630.0,0.5
2005,Delta Air Lines Inc.,carrier_delay,698809.0,0.0979
2005,Delta Air Lines Inc.,security_delay,16514.0,0.0023
2005,Delta Air Lines Inc.,weather_delay,181051.0,0.0254
2005,Delta Air Lines Inc.,nas_delay,1797607.0,0.2519
2005,Delta Air Lines Inc.,late_aircraft_delay,874649.0,0.1225
2005,ExpressJet Airlines Inc.,arr_delay,7145629.0,0.5
2005,ExpressJet Airlines Inc.,carrier_delay,1870275.0,0.1309
2005,ExpressJet Airlines Inc.,security_delay,5791.0,0.0004
2005,ExpressJet Airlines Inc.,weather_delay,179910.0,0.0126
2005,ExpressJet Airlines Inc.,nas_delay,2859263.0,0.2001
2005,ExpressJet Airlines Inc.,late_aircraft_delay,2230390.0,0.1561
2005,Frontier Airlines Inc.,arr_delay,4911449.0,0.5
2005,Frontier Airlines Inc.,carrier_delay,806798.0,0.0821
2005,Frontier Airlines Inc.,security_delay,10403.0,0.0011
2005,Frontier Airlines Inc.,weather_delay,240444.0,0.0245
2005,Frontier Airlines Inc.,nas_delay,2182003.0,0.2221
2005,Frontier Airlines Inc.,late_aircraft_delay,1671801.0,0.1702
2005,Hawaiian Airlines Inc.,arr_delay,391991.0,0.5
2005,Hawaiian Airlines Inc.,carrier_delay,121534.0,0.155
2005,Hawaiian Airlines Inc.,security_delay,320.0,0.0004
2005,Hawaiian Airlines Inc.,weather_delay,19190.0,0.0245
2005,Hawaiian Airlines Inc.,nas_delay,112801.0,0.1439
2005,Hawaiian Airlines Inc.,late_aircraft_delay,138146.0,0.1762
2005,Independence Air,arr_delay,101610.0,0.5
2005,Independence Air,carrier_delay,70008.0,0.3445
2005,Independence Air,security_delay,522.0,0.0026
2005,Independence Air,weather_delay,1876.0,0.0092
2005,Independence Air,nas_delay,5073.0,0.025
2005,Independence Air,late_aircraft_delay,24131.0,0.1187
2005,JetBlue Airways,arr_delay,1486499.0,0.5
2005,JetBlue Airways,carrier_delay,231155.0,0.0778
2005,JetBlue Airways,security_delay,3004.0,0.001
2005,JetBlue Airways,weather_delay,27463.0,0.0092
2005,JetBlue Airways,nas_delay,480433.0,0.1616
2005,JetBlue Airways,late_aircraft_delay,744444.0,0.2504
2005,Northwest Airlines Inc.,arr_delay,1583245.0,0.5
2005,Northwest Airlines Inc.,carrier_delay,280433.0,0.0886
2005,Northwest Airlines Inc.,security_delay,8507.0,0.0027
2005,Northwest Airlines Inc.,weather_delay,42443.0,0.0134
2005,Northwest Airlines Inc.,nas_delay,569333.0,0.1798
2005,Northwest Airlines Inc.,late_aircraft_delay,682529.0,0.2155
2005,SkyWest Airlines Inc.,arr_delay,5587738.0,0.5
2005,SkyWest Airlines Inc.,carrier_delay,2383603.0,0.2133
2005,SkyWest Airlines Inc.,security_delay,8176.0,0.0007
2005,SkyWest Airlines Inc.,weather_delay,491369.0,0.044
2005,SkyWest Airlines Inc.,nas_delay,1592895.0,0.1425
2005,SkyWest Airlines Inc.,late_aircraft_delay,1111695.0,0.0995
2005,Southwest Airlines Co.,arr_delay,3912030.0,0.5
2005,Southwest Airlines Co.,carrier_delay,1927728.0,0.2464
2005,Southwest Airlines Co.,security_delay,9930.0,0.0013
2005,Southwest Airlines Co.,weather_delay,291688.0,0.0373
2005,Southwest Airlines Co.,nas_delay,900911.0,0.1151
2005,Southwest Airlines Co.,late_aircraft_delay,781773.0,0.0999
2005,US Airways Inc.,arr_delay,8310908.0,0.5
2005,US Airways Inc.,carrier_delay,1701818.0,0.1024
2005,US Airways Inc.,security_delay,26165.0,0.0016
2005,US Airways Inc.,weather_delay,311257.0,0.0187
2005,US Airways Inc.,nas_delay,1275692.0,0.0767
2005,US Airways Inc.,late_aircraft_delay,4995976.0,0.3006
2005,United Air Lines Inc.,arr_delay,4615592.0,0.5
2005,United Air Lines Inc.,carrier_delay,1110262.0,0.1203
2005,United Air Lines Inc.,security_delay,0.0,0.0
2005,United Air Lines Inc.,weather_delay,158408.0,0.0172
2005,United Air Lines Inc.,nas_delay,1530823.0,0.1658
2005,United Air Lines Inc.,late_aircraft_delay,1816099.0,0.1967
2006,ATA Airlines d/b/a ATA,arr_delay,5864157.0,0.5
2006,ATA Airlines d/b/a ATA,carrier_delay,1574779.0,0.1343
2006,ATA Airlines d/b/a ATA,security_delay,601.0,0.0001
2006,ATA Airlines d/b/a ATA,weather_delay,143557.0,0.0122
2006,ATA Airlines d/b/a ATA,nas_delay,1862068.0,0.1588
2006,ATA Airlines d/b/a ATA,late_aircraft_delay,2283152.0,0.1947
2006,AirTran Airways Corporation,arr_delay,491389.0,0.5
2006,AirTran Airways Corporation,carrier_delay,82000.0,0.0834
2006,AirTran Airways Corporation,security_delay,1251.0,0.0013
2006,AirTran Airways Corporation,weather_delay,1946.0,0.002
2006,AirTran Airways Corporation,nas_delay,203866.0,0.2074
2006,AirTran Airways Corporation,late_aircraft_delay,202326.0,0.2059
2006,Alaska Airlines Inc.,arr_delay,3118539.0,0.5
2006,Alaska Airlines Inc.,carrier_delay,421813.0,0.0676
2006,Alaska Airlines Inc.,security_delay,0.0,0.0
2006,Alaska Airlines Inc.,weather_delay,19808.0,0.0032
2006,Alaska Airlines Inc.,nas_delay,1014415.0,0.1626
2006,Alaska Airlines Inc.,late_aircraft_delay,1662503.0,0.2666
2006,Aloha Airlines Inc.,arr_delay,1984369.0,0.5
2006,Aloha Airlines Inc.,carrier_delay,662092.0,0.1668
2006,Aloha Airlines Inc.,security_delay,13024.0,0.0033
2006,Aloha Airlines Inc.,weather_delay,36075.0,0.0091
2006,Aloha Airlines Inc.,nas_delay,404566.0,0.1019
2006,Aloha Airlines Inc.,late_aircraft_delay,868612.0,0.2189
2006,American Airlines Inc.,arr_delay,104528.0,0.5
2006,American Airlines Inc.,carrier_delay,57622.0,0.2756
2006,American Airlines Inc.,security_delay,740.0,0.0035
2006,American Airlines Inc.,weather_delay,1237.0,0.0059
2006,American Airlines Inc.,nas_delay,9692.0,0.0464
2006,American Airlines Inc.,late_aircraft_delay,35237.0,0.1686
2006,American Eagle Airlines Inc.,arr_delay,8570867.0,0.5
2006,American Eagle Airlines Inc.,carrier_delay,2169511.0,0.1266
